"Time Frame" ,"Location Id" ,"Location"                 ,"Lodged Bonds" ,"Active Bonds" ,"Closed Bonds" ,"Median Rent" ,"Geometric Mean Rent" ,"Upper Quartile Rent" ,"Lower Quartile Rent" ,"Log Std Dev Weekly Rent"
"1993-04-01" ,"1"           ,"Northland Region"         ,"141"          ,"1860"         ,"132"          ,"125"         ,"120"                 ,"145"                 ,"100"                 ,"0.29"
"1993-04-01" ,"2"           ,"Auckland Region"          ,"2,067"        ,"30873"        ,"1,854"        ,"180"         ,"186"                 ,"230"                 ,"150"                 ,"0.36"
"1993-04-01" ,"3"           ,"Waikato Region"           ,"690"          ,"8757"         ,"600"          ,"130"         ,"129"                 ,"160"                 ,"110"                 ,"0.30"
"1993-04-01" ,"4"           ,"Bay of Plenty Region"     ,"447"          ,"5031"         ,"387"          ,"140"         ,"134"                 ,"160"                 ,"110"                 ,"0.30"
"1993-04-01" ,"5"           ,"Gisborne Region"          ,"75"           ,"789"          ,"48"           ,"128"         ,"123"                 ,"140"                 ,"110"                 ,"0.24"
"1993-04-01" ,"6"           ,"Hawke's Bay Region"       ,"240"          ,"2985"         ,"216"          ,"140"         ,"138"                 ,"160"                 ,"120"                 ,"0.24"
"1993-04-01" ,"7"           ,"Taranaki Region"          ,"198"          ,"2370"         ,"204"          ,"130"         ,"127"                 ,"160"                 ,"100"                 ,"0.34"
"1993-04-01" ,"8"           ,"Manawatu-Wanganui Region" ,"387"          ,"5754"         ,"351"          ,"130"         ,"129"                 ,"150"                 ,"110"                 ,"0.34"
"1993-04-01" ,"9"           ,"Wellington Region"        ,"804"          ,"12093"        ,"753"          ,"167"         ,"168"                 ,"210"                 ,"130"                 ,"0.39"
"1993-04-01" ,"12"          ,"West Coast Region"        ,"33"           ,"456"          ,"24"           ,"120"         ,"106"                 ,"120"                 ,"90"                  ,"0.26"
"1993-04-01" ,"13"          ,"Canterbury Region"        ,"795"          ,"11070"        ,"645"          ,"145"         ,"140"                 ,"180"                 ,"115"                 ,"0.35"
"1993-04-01" ,"14"          ,"Otago Region"             ,"348"          ,"5253"         ,"324"          ,"140"         ,"133"                 ,"160"                 ,"110"                 ,"0.37"
"1993-04-01" ,"15"          ,"Southland Region"         ,"87"           ,"1485"         ,"78"           ,"95"          ,"96"                  ,"110"                 ,"81"                  ,"0.23"
"1993-04-01" ,"16"          ,"Tasman Region"            ,"30"           ,"318"          ,"30"           ,"150"         ,"147"                 ,"165"                 ,"130"                 ,"0.22"
"1993-04-01" ,"17"          ,"Nelson Region"            ,"132"          ,"1254"         ,"108"          ,"150"         ,"146"                 ,"180"                 ,"130"                 ,"0.27"
"1993-04-01" ,"18"          ,"Marlborough Region"       ,"54"           ,"708"          ,"54"           ,"130"         ,"127"                 ,"140"                 ,"115"                 ,"0.21"
"1993-05-01" ,"-99"         ,"ALL"                      ,"7,884"        ,"99231"        ,"6,039"        ,"150"         ,"151"                 ,"185"                 ,"120"                 ,"0.38"
"1993-05-01" ,"-1"          ,"NA"                       ,"489"          ,"6393"         ,"429"          ,"130"         ,"129"                 ,"165"                 ,"100"                 ,"0.41"
"1993-05-01" ,"1"           ,"Northland Region"         ,"174"          ,"1920"         ,"114"          ,"125"         ,"120"                 ,"150"                 ,"100"                 ,"0.25"
"1993-05-01" ,"2"           ,"Auckland Region"          ,"2,442"        ,"31494"        ,"1,821"        ,"180"         ,"186"                 ,"230"                 ,"150"                 ,"0.35"
"1993-05-01" ,"3"           ,"Waikato Region"           ,"705"          ,"8943"         ,"519"          ,"130"         ,"128"                 ,"160"                 ,"105"                 ,"0.33"
"1993-05-01" ,"4"           ,"Bay of Plenty Region"     ,"438"          ,"5121"         ,"348"          ,"140"         ,"137"                 ,"160"                 ,"120"                 ,"0.26"
"1993-05-01" ,"5"           ,"Gisborne Region"          ,"63"           ,"798"          ,"54"           ,"124"         ,"123"                 ,"150"                 ,"110"                 ,"0.23"
"1993-05-01" ,"6"           ,"Hawke's Bay Region"       ,"258"          ,"3036"         ,"207"          ,"140"         ,"140"                 ,"170"                 ,"120"                 ,"0.26"
"1993-05-01" ,"7"           ,"Taranaki Region"          ,"240"          ,"2430"         ,"183"          ,"130"         ,"126"                 ,"150"                 ,"100"                 ,"0.30"
"1993-05-01" ,"8"           ,"Manawatu-Wanganui Region" ,"486"          ,"5901"         ,"339"          ,"130"         ,"130"                 ,"155"                 ,"110"                 ,"0.31"
"1993-05-01" ,"9"           ,"Wellington Region"        ,"828"          ,"12255"        ,"666"          ,"170"         ,"171"                 ,"218"                 ,"130"                 ,"0.38"
"1993-05-01" ,"12"          ,"West Coast Region"        ,"24"           ,"447"          ,"33"           ,"113"         ,"92"                  ,"130"                 ,"74"                  ,"0.50"
"1993-05-01" ,"13"          ,"Canterbury Region"        ,"999"          ,"11331"        ,"741"          ,"150"         ,"141"                 ,"180"                 ,"120"                 ,"0.35"
"1993-05-01" ,"14"          ,"Otago Region"             ,"384"          ,"5334"         ,"303"          ,"135"         ,"128"                 ,"165"                 ,"110"                 ,"0.37"
"1993-05-01" ,"15"          ,"Southland Region"         ,"123"          ,"1494"         ,"114"          ,"105"         ,"101"                 ,"128"                 ,"85"                  ,"0.29"
"1993-05-01" ,"16"          ,"Tasman Region"            ,"24"           ,"324"          ,"18"           ,"160"         ,"137"                 ,"173"                 ,"118"                 ,"0.32"
"1993-05-01" ,"17"          ,"Nelson Region"            ,"132"          ,"1278"         ,"108"          ,"160"         ,"155"                 ,"180"                 ,"137"                 ,"0.24"
"1993-05-01" ,"18"          ,"Marlborough Region"       ,"72"           ,"732"          ,"51"           ,"130"         ,"127"                 ,"150"                 ,"115"                 ,"0.31"
"1993-06-01" ,"-99"         ,"ALL"                      ,"7,164"        ,"100128"       ,"6,264"        ,"150"         ,"150"                 ,"185"                 ,"120"                 ,"0.38"
